station,lat,lon,obs_count,mean_T_count,max_T_count,min_T_count,DTR_T_count,mean_T_ratio,max_T_ration,min_T_ratio,DTR_T_ratio,
95974099999,-41.6333333,147.9666666,7499,4,19,42,63,0.000533404,0.002533671,0.005600747,0.00840112,
95982099999,-41.617,147.733,2750,2,3,5,6,0.000727273,0.001090909,0.001818182,0.002181818,
93479099999,-41.5833333,175.2333333,1586,0,0,0,0,0,0,0,0,
95966099999,-41.55,147.2166666,7034,0,1,1,11,0,0.000142167,0.000142167,0.001563833,
94968099999,-41.545278,147.214167,16125,0,5,21,99,0,0.000310078,0.001302326,0.006139535,
85799099999,-41.438886,-73.093953,18339,0,12,33,75,0,0.000654343,0.001799444,0.004089645,
94969099999,-41.4166666,147.1166666,8965,0,1,7,29,0,0.000111545,0.000780814,0.003234802,
94955099999,-41.3833333,146.3166666,9503,0,3,0,6,0,0.00031569,0,0.00063138,
93439099999,-41.3333333,174.8,10333,0,0,0,1,0,0,0,9.68E-05,
95981099999,-41.3333333,148.2666666,8015,0,26,4,35,0,0.003243918,0.000499064,0.004366812,
93436099999,-41.327221,174.805278,5760,1,24,24,49,0.000173611,0.004166667,0.004166667,0.008506944,
93545099999,-41.3,173.217,6503,0,3,14,23,0,0.000461326,0.002152853,0.003536829,
93546099999,-41.3,173.2,11619,0,0,2,8,0,0,0.000172132,0.000688527,
